Ref_Date,GEO,SEX,AGE,Value
2016,"Powell River, British Columbia",Males,3 years,95
2016,"Powell River, British Columbia",Males,4 years,82
2016,"Powell River, British Columbia",Males,5 years,81
2016,"Powell River, British Columbia",Males,6 years,99
2016,"Powell River, British Columbia",Males,7 years,103
2016,"Powell River, British Columbia",Males,8 years,88
2016,"Powell River, British Columbia",Males,9 years,83
2016,"Powell River, British Columbia",Males,10 years,75
2016,"Powell River, British Columbia",Males,11 years,75
2016,"Powell River, British Columbia",Males,12 years,98
2016,"Powell River, British Columbia",Males,13 years,91
2016,"Powell River, British Columbia",Males,14 years,99
2016,"Powell River, British Columbia",Males,15 years,101
2016,"Powell River, British Columbia",Males,16 years,96
2016,"Powell River, British Columbia",Males,17 years,121
2016,"Powell River, British Columbia",Males,18 years,87
2016,"Powell River, British Columbia",Males,19 years,107
2016,"Powell River, British Columbia",Males,20 years,121
2016,"Powell River, British Columbia",Males,21 years,116
2016,"Powell River, British Columbia",Males,22 years,115
2016,"Powell River, British Columbia",Males,23 years,99
2016,"Powell River, British Columbia",Males,24 years,67
2016,"Powell River, British Columbia",Males,25 years,69
2016,"Powell River, British Columbia",Males,26 years,56
2016,"Powell River, British Columbia",Males,27 years,71
2016,"Powell River, British Columbia",Males,28 years,46
2016,"Powell River, British Columbia",Males,29 years,74
2016,"Powell River, British Columbia",Males,30 years,74
2016,"Powell River, British Columbia",Males,31 years,65
2016,"Powell River, British Columbia",Males,32 years,73
2016,"Powell River, British Columbia",Males,33 years,64
2016,"Powell River, British Columbia",Males,34 years,61
2016,"Powell River, British Columbia",Males,35 years,86
2016,"Powell River, British Columbia",Males,36 years,55
2016,"Powell River, British Columbia",Males,37 years,56
2016,"Powell River, British Columbia",Males,38 years,84
2016,"Powell River, British Columbia",Males,39 years,88
2016,"Powell River, British Columbia",Males,40 years,88
2016,"Powell River, British Columbia",Males,41 years,104
2016,"Powell River, British Columbia",Males,42 years,90
2016,"Powell River, British Columbia",Males,43 years,99
2016,"Powell River, British Columbia",Males,44 years,99
2016,"Powell River, British Columbia",Males,45 years,116
2016,"Powell River, British Columbia",Males,46 years,122
2016,"Powell River, British Columbia",Males,47 years,113
2016,"Powell River, British Columbia",Males,48 years,106
2016,"Powell River, British Columbia",Males,49 years,131
2016,"Powell River, British Columbia",Males,50 years,132
2016,"Powell River, British Columbia",Males,51 years,159
2016,"Powell River, British Columbia",Males,52 years,143
2016,"Powell River, British Columbia",Males,53 years,153
2016,"Powell River, British Columbia",Males,54 years,179
2016,"Powell River, British Columbia",Males,55 years,184
2016,"Powell River, British Columbia",Males,56 years,192
2016,"Powell River, British Columbia",Males,57 years,185
2016,"Powell River, British Columbia",Males,58 years,189
2016,"Powell River, British Columbia",Males,59 years,186
2016,"Powell River, British Columbia",Males,60 years,207
2016,"Powell River, British Columbia",Males,61 years,186
2016,"Powell River, British Columbia",Males,62 years,192
2016,"Powell River, British Columbia",Males,63 years,207
2016,"Powell River, British Columbia",Males,64 years,188
2016,"Powell River, British Columbia",Males,65 years,211
2016,"Powell River, British Columbia",Males,66 years,188
2016,"Powell River, British Columbia",Males,67 years,221
2016,"Powell River, British Columbia",Males,68 years,211
2016,"Powell River, British Columbia",Males,69 years,197
2016,"Powell River, British Columbia",Males,70 years,145
2016,"Powell River, British Columbia",Males,71 years,181
2016,"Powell River, British Columbia",Males,72 years,162
2016,"Powell River, British Columbia",Males,73 years,134
2016,"Powell River, British Columbia",Males,74 years,127
2016,"Powell River, British Columbia",Males,75 years,116
2016,"Powell River, British Columbia",Males,76 years,111
2016,"Powell River, British Columbia",Males,77 years,110
2016,"Powell River, British Columbia",Males,78 years,94
2016,"Powell River, British Columbia",Males,79 years,70
2016,"Powell River, British Columbia",Males,80 years,64
2016,"Powell River, British Columbia",Males,81 years,66
2016,"Powell River, British Columbia",Males,82 years,64
2016,"Powell River, British Columbia",Males,83 years,41
2016,"Powell River, British Columbia",Males,84 years,45
2016,"Powell River, British Columbia",Males,85 years,37
2016,"Powell River, British Columbia",Males,86 years,60
2016,"Powell River, British Columbia",Males,87 years,48
2016,"Powell River, British Columbia",Males,88 years,38
2016,"Powell River, British Columbia",Males,89 years,25
2016,"Powell River, British Columbia",Males,90 years and over,97
2016,"Powell River, British Columbia",Females,0 years,67
2016,"Powell River, British Columbia",Females,1 year,69
2016,"Powell River, British Columbia",Females,2 years,68
2016,"Powell River, British Columbia",Females,3 years,69
2016,"Powell River, British Columbia",Females,4 years,73
2016,"Powell River, British Columbia",Females,5 years,89
2016,"Powell River, British Columbia",Females,6 years,73
2016,"Powell River, British Columbia",Females,7 years,84
2016,"Powell River, British Columbia",Females,8 years,84
2016,"Powell River, British Columbia",Females,9 years,84
2016,"Powell River, British Columbia",Females,10 years,87
2016,"Powell River, British Columbia",Females,11 years,96
2016,"Powell River, British Columbia",Females,12 years,97
2016,"Powell River, British Columbia",Females,13 years,94
2016,"Powell River, British Columbia",Females,14 years,95
2016,"Powell River, British Columbia",Females,15 years,99
2016,"Powell River, British Columbia",Females,16 years,84
2016,"Powell River, British Columbia",Females,17 years,93
2016,"Powell River, British Columbia",Females,18 years,106
2016,"Powell River, British Columbia",Females,19 years,102
2016,"Powell River, British Columbia",Females,20 years,105
2016,"Powell River, British Columbia",Females,21 years,112
2016,"Powell River, British Columbia",Females,22 years,113
2016,"Powell River, British Columbia",Females,23 years,69
2016,"Powell River, British Columbia",Females,24 years,60
2016,"Powell River, British Columbia",Females,25 years,55
2016,"Powell River, British Columbia",Females,26 years,48
2016,"Powell River, British Columbia",Females,27 years,57
2016,"Powell River, British Columbia",Females,28 years,48
2016,"Powell River, British Columbia",Females,29 years,62
2016,"Powell River, British Columbia",Females,30 years,81
2016,"Powell River, British Columbia",Females,31 years,89
2016,"Powell River, British Columbia",Females,32 years,93
2016,"Powell River, British Columbia",Females,33 years,90
2016,"Powell River, British Columbia",Females,34 years,88
2016,"Powell River, British Columbia",Females,35 years,95
2016,"Powell River, British Columbia",Females,36 years,93
2016,"Powell River, British Columbia",Females,37 years,84
2016,"Powell River, British Columbia",Females,38 years,83
2016,"Powell River, British Columbia",Females,39 years,99
2016,"Powell River, British Columbia",Females,40 years,104
2016,"Powell River, British Columbia",Females,41 years,110
2016,"Powell River, British Columbia",Females,42 years,94
2016,"Powell River, British Columbia",Females,43 years,93
2016,"Powell River, British Columbia",Females,44 years,103
2016,"Powell River, British Columbia",Females,45 years,99
2016,"Powell River, British Columbia",Females,46 years,124
2016,"Powell River, British Columbia",Females,47 years,123
2016,"Powell River, British Columbia",Females,48 years,118
2016,"Powell River, British Columbia",Females,49 years,121
2016,"Powell River, British Columbia",Females,50 years,152
2016,"Powell River, British Columbia",Females,51 years,149
2016,"Powell River, British Columbia",Females,52 years,166
2016,"Powell River, British Columbia",Females,53 years,188
2016,"Powell River, British Columbia",Females,54 years,190
2016,"Powell River, British Columbia",Females,55 years,183
